Day,Germinated_6.2,Germinated_7.0,Length_mm_6.2,Length_mm_7.0
4,No,No,0,0
4,No,No,0,0
4,No,No,0,0
4,No,No,0,0
4,No,No,0,0
4,No,No,0,0
4,No,No,0,0
4,No,No,0,0
4,No,No,0,0
4,No,No,0,
7,No,No,0,0
7,Yes,No,15,0
7,No,No,0,0
7,Yes,No,5,0
7,Yes,No,5,0
7,No,No,0,0
7,No,No,0,0
7,Yes,No,4,0
7,Yes,No,5,0
7,Yes,No,17,
9,No,Yes,0,8
9,Yes,Yes,25,1
9,No,No,0,0
9,Yes,No,12,0
9,Yes,No,10,0
9,No,No,0,0
9,No,No,0,0
9,Yes,No,7,0
9,Yes,No,8,0
9,Yes,Molded,35,
11,No,Yes,0,15
11,Yes,Yes,31,6
11,Yes,No,1,0
11,Yes,No,14,0
11,Yes,Yes,11,7
11,Yes,No,4,0
11,Yes,Yes,4,3
11,Yes,No,6,0
11,Yes,Yes,5,3
11,Yes,Molded,45,
14,Yes,Yes,1,25
14,Yes,Yes,60,28
14,Yes,Yes,3,1
14,Yes,Yes,25,3
14,Yes,Yes,13,47
14,Yes,Yes,27,11
14,Yes,Yes,31,12
14,Yes,Yes,29,11
14,Yes,Yes,17,32
14,Yes,Molded,70,
16,Yes,Yes,2,31
16,Yes,Yes,65,30
16,Yes,Yes,5,1
16,Yes,Yes,16,4
16,Yes,Yes,18,47
16,Yes,Yes,31,26
16,Yes,Yes,32,22
16,Yes,Yes,37,20
16,Yes,Yes,18,35
16,Yes,Molded,85,
