Day,Bean,Germinated_6.2,Germinated_7.0
4,1,No,No
4,2,No,No
4,3,No,No
4,4,No,No
4,5,No,No
4,6,No,No
4,7,No,No
4,8,No,No
4,9,No,No
4,10,No,No
7,1,No,No
7,2,Yes,No
7,3,No,No
7,4,Yes,No
7,5,Yes,No
7,6,No,No
7,7,No,No
7,8,Yes,No
7,9,Yes,No
7,10,Yes,No
9,1,No,Yes
9,2,Yes,Yes
9,3,No,No
9,4,Yes,No
9,5,Yes,No
9,6,No,No
9,7,No,No
9,8,Yes,No
9,9,Yes,No
9,10,Yes,Molded
11,1,No,Yes
11,2,Yes,Yes
11,3,Yes,No
11,4,Yes,No
11,5,Yes,Yes
11,6,Yes,No
11,7,Yes,Yes
11,8,Yes,No
11,9,Yes,Yes
11,10,Yes,Molded
14,1,Yes,Yes
14,2,Yes,Yes
14,3,Yes,Yes
14,4,Yes,Yes
14,5,Yes,Yes
14,6,Yes,Yes
14,7,Yes,Yes
14,8,Yes,Yes
14,9,Yes,Yes
14,10,Yes,Molded
16,1,Yes,Yes
16,2,Yes,Yes
16,3,Yes,Yes
16,4,Yes,Yes
16,5,Yes,Yes
16,6,Yes,Yes
16,7,Yes,Yes
16,8,Yes,Yes
16,9,Yes,Yes
16,10,Yes,Molded
