Day_Treatment..pH.,Bean,Germinated
04_7.0,1,0
04_7.0,2,0
04_7.0,3,0
04_7.0,4,0
04_7.0,5,0
04_7.0,6,0
04_7.0,7,0
04_7.0,8,0
04_7.0,9,0
04_6.2,1,0
04_6.2,2,0
04_6.2,3,0
04_6.2,4,0
04_6.2,5,0
04_6.2,6,0
04_6.2,7,0
04_6.2,8,0
04_6.2,9,0
04_6.2,10,0
07_7.0,1,0
07_7.0,2,0
07_7.0,3,0
07_7.0,4,0
07_7.0,5,0
07_7.0,6,0
07_7.0,7,0
07_7.0,8,0
07_7.0,9,0
07_6.2,1,0
07_6.2,2,1
07_6.2,3,0
07_6.2,4,1
07_6.2,5,1
07_6.2,6,0
07_6.2,7,0
07_6.2,8,1
07_6.2,9,1
07_6.2,10,1
09_7.0,1,1
09_7.0,2,1
09_7.0,3,0
09_7.0,4,0
09_7.0,5,0
09_7.0,6,0
09_7.0,7,0
09_7.0,8,0
09_7.0,9,0
09_6.2,1,0
09_6.2,2,1
09_6.2,3,0
09_6.2,4,1
09_6.2,5,1
09_6.2,6,0
09_6.2,7,0
09_6.2,8,1
09_6.2,9,1
09_6.2,10,1
11_7.0,1,1
11_7.0,2,1
11_7.0,3,0
11_7.0,4,0
11_7.0,5,1
11_7.0,6,0
11_7.0,7,1
11_7.0,8,0
11_7.0,9,1
11_6.2,1,0
11_6.2,2,1
11_6.2,3,1
11_6.2,4,1
11_6.2,5,1
11_6.2,6,1
11_6.2,7,1
11_6.2,8,1
11_6.2,9,1
11_6.2,10,1
14_7.0,1,1
14_7.0,2,1
14_7.0,3,1
14_7.0,4,1
14_7.0,5,1
14_7.0,6,1
14_7.0,7,1
14_7.0,8,1
14_7.0,9,1
14_6.2,1,1
14_6.2,2,1
14_6.2,3,1
14_6.2,4,1
14_6.2,5,1
14_6.2,6,1
14_6.2,7,1
14_6.2,8,1
14_6.2,9,1
14_6.2,10,1
16_7.0,1,1
16_7.0,2,1
16_7.0,3,1
16_7.0,4,1
16_7.0,5,1
16_7.0,6,1
16_7.0,7,1
16_7.0,8,1
16_7.0,9,1
16_6.2,1,1
16_6.2,2,1
16_6.2,3,1
16_6.2,4,1
16_6.2,5,1
16_6.2,6,1
16_6.2,7,1
16_6.2,8,1
16_6.2,9,1
16_6.2,10,1
