Day,Bean,Length_mm_6.2,Length_mm_7.0
4,1,0,0
4,2,0,0
4,3,0,0
4,4,0,0
4,5,0,0
4,6,0,0
4,7,0,0
4,8,0,0
4,9,0,0
4,10,0,
7,1,0,0
7,2,15,0
7,3,0,0
7,4,5,0
7,5,5,0
7,6,0,0
7,7,0,0
7,8,4,0
7,9,5,0
7,10,17,
9,1,0,8
9,2,25,1
9,3,0,0
9,4,12,0
9,5,10,0
9,6,0,0
9,7,0,0
9,8,7,0
9,9,8,0
9,10,35,
11,1,0,15
11,2,31,6
11,3,1,0
11,4,14,0
11,5,11,7
11,6,4,0
11,7,4,3
11,8,6,0
11,9,5,3
11,10,45,
14,1,1,25
14,2,60,28
14,3,3,1
14,4,25,3
14,5,13,47
14,6,27,11
14,7,31,12
14,8,29,11
14,9,17,32
14,10,70,
16,1,2,31
16,2,65,30
16,3,5,1
16,4,16,4
16,5,18,47
16,6,31,26
16,7,32,22
16,8,37,20
16,9,18,35
16,10,85,
